品牌,能效等级,支持IPv6,类型,处理器,厚度,机身材质,内存容量,屏幕尺寸,Pairs
haier,三级能效,no,游戏本,AMD R3,20.0mm 以上,复合材质,48GB,18.4英寸,2
mi,一级能效,yes,轻薄本,AMD R7,15.1-18.0mm,含碳纤维,20GB,13.0-13.9英寸,1
mechrevo,三级能效,no,高端轻薄本,AMD R5,18.1-20.0mm,含碳纤维,32GB,17.3英寸,2
honor,三级能效,yes,高端轻薄本,intel i7,15.0mm 及以下,金属+复合材质,36GB,14.0-14.9英寸,1
hp,二级能效,yes,游戏本,Apple M2,15.0mm 及以下,金属,12GB,14.0-14.9英寸,1
acer,三级能效,no,高端游戏本,龙芯,18.1-20.0mm,复合材质,32GB,16.0-16.9英寸,2
lenovo,三级能效,no,游戏本,麒麟,15.1-18.0mm,复合材质,36GB,18.4英寸,2
mi,三级能效,yes,高端游戏本,麒麟,20.0mm 以上,金属,64GB,14.0-14.9英寸,1
acer,三级能效,no,高性能轻薄本,高通,20.0mm 以上,金属+复合材质,128GB,14.0-14.9英寸,1
mi,五级能效,no,轻薄本,AMD R5,18.1-20.0mm,复合材质,64GB,16.0-16.9英寸,1
thinkpad,二级能效,no,高性能轻薄本,AMD R7,15.0mm 及以下,复合材质,24GB,17英寸,2
acer,五级能效,no,游戏本,AMD R5,20.0mm 以上,金属,16GB,14.0-14.9英寸,1
mechrevo,二级能效,yes,轻薄本,intel 赛扬,18.1-20.0mm,金属+复合材质,16GB,14.0-14.9英寸,1
mi,一级能效,yes,高端轻薄本,AMD R7,18.1-20.0mm,金属,12GB,13.0-13.9英寸,1
apple,五级能效,yes,高端游戏本,龙芯,15.0mm 及以下,复合材质,6GB,16.0-16.9英寸,1
haier,二级能效,no,游戏本,AMD R9,18.1-20.0mm,复合材质,36GB,15.0-15.9英寸,1
mi,一级能效,yes,高性能轻薄本,intel i3,18.1-20.0mm,金属+复合材质,128GB,17英寸,1
thinkpad,五级能效,yes,轻薄本,intel i7,15.1-18.0mm,金属+复合材质,6GB,13.0-13.9英寸,1
mi,五级能效,no,游戏本,Apple M2,20.0mm 以上,含碳纤维,16GB,15.0-15.9英寸,2
hp,一级能效,yes,高性能轻薄本,飞腾,15.1-18.0mm,含碳纤维,32GB,17英寸,1
honor,一级能效,yes,高端游戏本,intel i5,15.0mm 及以下,金属,12GB,13.0-13.9英寸,1
dell,二级能效,no,高端游戏本,AMD 速龙,15.1-18.0mm,含碳纤维,48GB,18.4英寸,2
thinkpad,二级能效,no,游戏本,AMD R3,18.1-20.0mm,含碳纤维,128GB,16.0-16.9英寸,1
dell,二级能效,yes,高端轻薄本,Apple M1,18.1-20.0mm,含碳纤维,128GB,18.4英寸,2
mechrevo,一级能效,no,轻薄本,Apple M1 Pro,18.1-20.0mm,含碳纤维,64GB,16.0-16.9英寸,1
asus,三级能效,yes,高端游戏本,intel i7,15.0mm 及以下,含碳纤维,40GB,18.4英寸,1
apple,五级能效,no,高端游戏本,intel i3,15.0mm 及以下,含碳纤维,40GB,16.0-16.9英寸,1
hp,三级能效,yes,高性能轻薄本,AMD R3,18.1-20.0mm,复合材质,24GB,17.3英寸,1
acer,五级能效,yes,高端游戏本,intel 奔腾,15.0mm 及以下,复合材质,8GB,17.3英寸,2
acer,三级能效,yes,高性能轻薄本,intel 赛扬,15.0mm 及以下,金属+复合材质,6GB,14.0-14.9英寸,1
mechrevo,二级能效,no,轻薄本,intel i3,18.1-20.0mm,复合材质,4GB,18.4英寸,1
asus,一级能效,yes,游戏本,intel 至强,18.1-20.0mm,金属,8GB,15.0-15.9英寸,2
mi,二级能效,no,高性能轻薄本,Apple M1 Max,15.0mm 及以下,含碳纤维,20GB,13.0-13.9英寸,2
mechrevo,二级能效,yes,高性能轻薄本,AMD R9,15.1-18.0mm,复合材质,12GB,13.0英寸以下,1
lenovo,一级能效,yes,游戏本,飞腾,18.1-20.0mm,含碳纤维,16GB,17.3英寸,2
hp,三级能效,yes,高端游戏本,兆芯,15.0mm 及以下,金属+复合材质,64GB,14.0-14.9英寸,1
mi,五级能效,yes,轻薄本,intel i5,15.0mm 及以下,金属,6GB,18.4英寸,1
hp,三级能效,yes,轻薄本,麒麟,20.0mm 以上,复合材质,24GB,14.0-14.9英寸,1
haier,五级能效,yes,游戏本,兆芯,18.1-20.0mm,含碳纤维,36GB,13.0英寸以下,1
acer,五级能效,yes,高性能轻薄本,AMD 速龙,15.1-18.0mm,金属+复合材质,128GB,18.4英寸,1
thinkpad,五级能效,yes,游戏本,麒麟,18.1-20.0mm,含碳纤维,40GB,14.0-14.9英寸,1
asus,一级能效,no,高性能轻薄本,AMD R9,15.1-18.0mm,金属+复合材质,48GB,17.3英寸,1
huawei,二级能效,yes,轻薄本,Apple M2,20.0mm 以上,复合材质,4GB,13.0英寸以下,1
honor,一级能效,no,高端轻薄本,intel 赛扬,20.0mm 以上,复合材质,48GB,14.0-14.9英寸,1
huawei,三级能效,yes,高端轻薄本,高通,15.0mm 及以下,金属,48GB,17.3英寸,1
haier,二级能效,yes,高端游戏本,intel i9,15.0mm 及以下,含碳纤维,20GB,15.0-15.9英寸,1
mechrevo,五级能效,no,高性能轻薄本,intel i7,15.1-18.0mm,复合材质,12GB,13.0-13.9英寸,1
lenovo,五级能效,no,高端轻薄本,龙芯,20.0mm 以上,金属+复合材质,32GB,13.0英寸以下,1
acer,二级能效,yes,轻薄本,intel i5,15.1-18.0mm,复合材质,20GB,16.0-16.9英寸,1
